Artists1,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
ODESZA,The Last Goodbye,Wide Awake (feat. Charlie Houston),65,215039,False,0.616,0.886,6,-5.436,0,0.0416,0.163,0.0517,0.129,0.0694,124.987,4,chill
chief.,cloud shapes,cloud shapes,45,144000,False,0.569,0.207,8,-18.596,1,0.0436,0.881,0.941,0.108,0.36,79.978,4,chill
Nujabes,Modal Soul,Feather (feat. Cise Starr & Akin from CYNE),63,175360,False,0.565,0.749,10,-6.629,0,0.0769,0.655,0.432,0.106,0.881,180.598,4,chill
Feint,We Won't Be Alone,We Won't Be Alone,58,234475,False,0.377,0.858,11,-4.9,0,0.148,0.134,0.00185,0.0985,0.117,174.751,4,chill
fenekot,Off the Deep End,Off the Deep End,52,100450,False,0.885,0.301,7,-10.622,1,0.0482,0.73,0.107,0.359,0.488,122.025,4,chill
fenekot,Atlantis,Atlantis,33,108072,False,0.561,0.407,8,-10.254,0,0.111,0.783,0.455,0.472,0.318,165.862,4,chill
lofi.samurai,oldies,water,52,60750,False,0.814,0.43,7,-13.563,1,0.263,0.824,0.647,0.108,0.742,80.015,4,chill
Skinny Atlas,Love Pain,Love Pain,52,102127,True,0.792,0.36,9,-9.126,1,0.129,0.0347,0.0,0.18,0.467,94.026,4,chill
joan,partly cloudy,brokenhearted - sunset,48,261560,False,0.533,0.195,10,-10.012,1,0.0325,0.904,0.0,0.106,0.371,138.783,4,chill
Bahramji & Maneesh De Moor,Call of the Mystic,Dreamcatcher,37,460225,False,0.528,0.274,7,-12.052,1,0.0729,0.379,0.54,0.142,0.0486,129.982,4,chill
fenekot,Atlantis,Atlantis (Super Sped Up),38,81500,False,0.606,0.433,1,-8.353,0,0.0477,0.433,0.783,0.249,0.525,109.905,4,chill
Dvwn,"The Uncanny Counter (Original Television Soundtrack), Pt. 3",No Problem,51,211999,False,0.439,0.266,2,-7.548,1,0.0329,0.57,0.0,0.108,0.242,69.611,4,chill
fenekot,Atlantis,Atlantis (Sped Up),32,102000,False,0.402,0.406,9,-9.661,0,0.134,0.702,0.262,0.131,0.281,85.151,4,chill
Tenno,Mind Temple,A New Beginning,60,179016,False,0.312,0.315,5,-15.185,0,0.0522,0.922,0.908,0.117,0.198,122.008,4,chill
Tenno,Mind Temple,Grace,61,181818,False,0.32,0.373,2,-11.963,0,0.0432,0.563,0.931,0.318,0.0669,66.011,4,chill
Mount Kimbie,Eat Your Own Ears Recordings EP 1 / 2,SE15,8,201373,False,0.449,0.499,10,-10.375,0,0.0342,0.77,0.821,0.0981,0.395,82.008,4,chill
John Concepcion,HITMYLINE,HITMYLINE,59,200646,True,0.591,0.546,2,-6.566,0,0.156,0.12,1.33e-06,0.0964,0.305,83.7,4,chill
Pink Sweat$,Volume 2 EP,Coke & Henny Pt. 2,56,157333,False,0.807,0.287,1,-9.852,0,0.0386,0.6,0.0,0.105,0.466,89.975,4,chill
Kevitch,Sunrise,Sunrise,54,208744,False,0.609,0.389,5,-11.675,0,0.0341,0.527,0.113,0.11,0.144,138.037,4,chill
MOSSS,Pale Blue,IDK,53,213497,False,0.416,0.452,5,-11.233,0,0.0589,0.936,0.514,0.257,0.247,73.605,4,chill
Shoffy,Lenses,Cool Again,59,191935,False,0.803,0.449,11,-6.861,1,0.0745,0.443,3.32e-05,0.127,0.655,90.077,4,chill
Saib,in your arms,in your arms,54,277839,False,0.739,0.28,0,-17.212,1,0.0929,0.697,0.0133,0.362,0.755,142.912,4,chill
potsu,lovesick,lovesick,59,150966,False,0.804,0.577,10,-14.929,1,0.14,0.922,0.939,0.113,0.181,79.486,4,chill
Timmies,Passion & Confusion,You Are Loving,57,100812,False,0.814,0.333,6,-11.56,0,0.189,0.874,3.54e-06,0.615,0.387,99.994,4,chill
Shiloh Dynasty,Vivid Pictures,You Can't Control My Heart,55,148600,False,0.879,0.242,0,-11.847,1,0.0397,0.862,0.0993,0.123,0.283,109.918,4,chill
peach tinted,Cinematic Youth,The Unknown,58,188368,False,0.594,0.69,0,-10.239,1,0.0315,0.151,0.543,0.366,0.726,136.529,4,chill
Grizzly Bear,Veckatimest,Two Weeks,71,243160,False,0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,4,chill
Sky McCreery,just to break my heart,just to break my heart,62,152727,False,0.651,0.205,9,-10.572,1,0.0465,0.719,0.000832,0.122,0.123,110.016,4,chill
Jaylon Ashaun,Final Draft,Strawberries and Wine,54,139289,False,0.726,0.618,2,-7.073,1,0.0571,0.481,0.0,0.0945,0.374,110.068,4,chill
Bennett Coast,Moonboy,Moonboy,56,132230,True,0.507,0.375,9,-10.637,1,0.0256,0.855,0.00981,0.11,0.0519,90.006,4,chill
VAL,Sad Tape,Something Isn't Right With Us,55,151586,False,0.776,0.0956,6,-20.769,0,0.0861,0.805,0.000239,0.352,0.309,89.949,4,chill
demxntia,serene//rewind,serene//rewind,54,156825,True,0.568,0.867,0,-5.183,1,0.15,0.209,0.0,0.407,0.441,175.994,4,chill
Pink Sweat$,Pink Moon,Real Thing (feat. Tori Kelly),61,195368,False,0.615,0.322,1,-10.408,1,0.0282,0.77,3.39e-05,0.11,0.256,113.064,4,chill
Sainte,Local Mvp,Hunnids,63,166000,False,0.776,0.464,8,-11.044,0,0.0553,0.79,0.000521,0.109,0.52,129.07,4,chill
Sainte,Local Mvp,Stylin',65,158000,False,0.641,0.436,6,-10.353,0,0.323,0.636,2.68e-05,0.14,0.535,129.08,4,chill
Zachary Knowles,wake up,wake up,51,291130,False,0.853,0.344,10,-8.153,1,0.0619,0.356,1.17e-06,0.0578,0.327,115.012,4,chill
yaeow,One More Time,One More Time,47,151384,False,0.623,0.242,10,-15.055,1,0.0698,0.877,0.000745,0.208,0.191,129.907,4,chill
Lund,Project Of A Person,Out Of Time,53,193853,False,0.686,0.436,1,-8.865,1,0.0336,0.574,0.0,0.0955,0.162,119.959,4,chill
Leah Marie Perez,Nothin' on Me,Nothin' on Me,51,217500,False,0.791,0.402,10,-7.672,0,0.0441,0.4,0.0,0.115,0.478,100.016,4,chill
Yusei,Aesthetic Girl,Aesthetic Girl,54,258144,False,0.707,0.486,9,-8.16,0,0.174,0.973,0.916,0.529,0.519,169.945,4,chill
Kudasaibeats,Falling,The Girl I Haven't Met,56,195000,False,0.785,0.222,8,-21.624,1,0.0418,0.86,0.84,0.106,0.327,139.885,4,chill
Idealism,Both of Us,Both of Us,56,115763,False,0.702,0.517,11,-8.148,1,0.106,0.18,0.939,0.148,0.518,84.99,4,chill
Teqkoi,Please Come Back,Please Come Back,55,121521,False,0.737,0.241,9,-16.034,0,0.0882,0.51,0.00572,0.108,0.345,100.0,4,chill
Sølace,blurry,remedy,44,246183,False,0.365,0.183,5,-16.458,0,0.0849,0.978,1.17e-05,0.375,0.129,117.608,3,chill
Dept,whenever it rains,Whenever it rains (feat. Nason & amin),56,185737,False,0.655,0.532,2,-6.298,1,0.0683,0.822,0.0,0.143,0.421,138.942,4,chill
demxntia,selfish (i wished you hated me),selfish (i wished you hated me),45,172987,True,0.408,0.516,7,-9.112,0,0.0456,0.691,0.0,0.159,0.514,153.651,3,chill
Colde,Your Dog Loves You,Your Dog Loves You (Feat. Crush),59,270003,False,0.413,0.232,9,-11.87,1,0.0371,0.928,3.15e-05,0.155,0.134,93.661,1,chill
suggi,Hug,Hug,50,272571,False,0.555,0.275,2,-11.975,1,0.0275,0.785,0.00338,0.096,0.262,139.948,3,chill
Faime,Closure,Closure,43,188275,True,0.708,0.278,9,-9.354,1,0.035,0.636,1.1e-06,0.115,0.321,87.023,4,chill
Presence,Just Hold On,Just Hold On,58,203307,False,0.677,0.629,11,-7.508,1,0.0712,0.553,3.27e-05,0.117,0.186,130.008,4,chill
ODESZA,The Last Goodbye,Behind The Sun,60,250634,False,0.598,0.926,6,-3.746,0,0.0555,0.00575,0.587,0.125,0.364,140.044,4,chill
Fatboibari,Chill Calling,Chill Calling,55,99474,False,0.521,0.27,8,-17.214,1,0.34,0.142,0.0,0.334,0.345,103.144,1,chill
BluntOne,Cloud Surfing,Under Your Skin,55,145519,False,0.38,0.173,2,-13.952,0,0.0314,0.757,0.802,0.117,0.527,107.829,4,chill
Foster,as long as i have you,as long as i have you,49,162217,False,0.518,0.605,5,-7.032,0,0.181,0.1,3.47e-06,0.219,0.319,79.641,4,chill
Vluestar,I’ll Keep You Safe,Reminiscing,55,73557,True,0.701,0.335,1,-11.377,1,0.598,0.772,3.62e-06,0.135,0.28,84.35,4,chill
DeVita,American Gothic,Superstar,43,167817,False,0.62,0.24,10,-9.262,1,0.0382,0.878,3.16e-06,0.157,0.556,72.007,4,chill
Tom Odell,Long Way Down (Deluxe),Long Way Down,59,149773,False,0.368,0.121,6,-13.778,1,0.0315,0.972,0.0322,0.0871,0.0956,133.148,4,chill
Presence,"Dear Depression,","Dear Depression,",57,139285,False,0.476,0.549,4,-10.426,1,0.395,0.81,0.000226,0.141,0.167,182.104,4,chill
Valerio Castilla,Savoca,Guarisci il mio Cuore,55,189250,False,0.498,0.0749,4,-22.481,0,0.0473,0.982,0.925,0.111,0.263,106.329,4,chill
Zachary Knowles,tendency to be a loner,dancing in the kitchen,54,177420,False,0.819,0.652,2,-8.466,1,0.0515,0.124,0.000752,0.527,0.967,126.01,4,chill
Tenno,Mind Temple,Home,60,179000,False,0.617,0.352,10,-15.745,0,0.0348,0.622,0.834,0.186,0.184,120.024,4,chill
Tone Stith,FWM,FWM,58,196666,True,0.615,0.551,7,-6.763,0,0.144,0.285,0.00105,0.109,0.363,142.019,4,chill
53 Thieves,dreamin',dreamin',55,207705,True,0.831,0.419,1,-7.381,0,0.44,0.359,0.00228,0.0959,0.339,84.983,4,chill
RINI,Constellations,Red Lights (feat. Wale),56,219686,True,0.567,0.666,10,-4.907,0,0.0623,0.355,3.9e-06,0.109,0.571,116.643,4,chill
UMI,Butterfly,Butterfly,62,160500,False,0.785,0.27,5,-14.457,1,0.0892,0.255,0.00132,0.0953,0.12,131.894,4,chill
Fiji Blue,Numb,Numb,50,162180,False,0.761,0.463,5,-8.373,0,0.0568,0.486,0.000582,0.179,0.431,114.052,4,chill
Kid Travis,Strawberry Skies,Atomic Ever After,45,183139,False,0.748,0.356,6,-13.473,1,0.176,0.205,0.0,0.0917,0.59,137.641,4,chill
cehryl,Dead Knot,Dead Knot,54,237366,False,0.607,0.581,1,-8.182,1,0.0284,0.024,0.0026,0.128,0.348,94.493,4,chill
RUSSELL!,SCARLETT'S WEEKEND,SCARLETT'S WEEKEND,61,111696,True,0.706,0.348,2,-4.25,1,0.035,0.663,0.0,0.194,0.474,111.81,4,chill
JYLPO,Next to You,Next to You,59,208461,True,0.459,0.66,9,-6.963,1,0.208,0.918,0.000147,0.121,0.621,179.75,4,chill
Zachary Knowles,cherry wine,cherry wine,48,188499,False,0.595,0.305,1,-10.534,0,0.0336,0.88,1.29e-06,0.119,0.427,147.863,4,chill
keshi,over u,over u,58,179777,False,0.911,0.257,8,-11.601,1,0.348,0.249,5.68e-05,0.324,0.193,130.045,4,chill
Yxngxr1,hello hello!,hello hello!,58,148363,True,0.927,0.651,8,-5.34,0,0.0934,0.624,0.0,0.105,0.937,110.009,4,chill
Fern.,Want U Bad,Want U Bad,61,222000,False,0.469,0.315,6,-15.836,1,0.0496,0.871,0.000184,0.111,0.353,79.947,4,chill
Nbdy,Tunnel Vision,Missing Sumthin',58,135789,True,0.721,0.366,2,-10.601,0,0.132,0.724,2.08e-05,0.119,0.798,76.051,4,chill
Stapes,Wintree,Wintree,42,141296,False,0.723,0.287,0,-12.613,1,0.0783,0.957,0.825,0.102,0.253,76.011,4,chill
Aether,Viraha,Catharsis,53,245613,False,0.715,0.218,0,-17.547,0,0.0396,0.709,0.925,0.082,0.0802,109.992,4,chill
Finding Hope,yellow lights,yellow lights,48,123310,False,0.459,0.161,10,-19.988,1,0.0335,0.89,0.0362,0.112,0.157,144.917,4,chill
Knowmadic,Course,Course,55,138947,False,0.691,0.323,6,-16.599,1,0.119,0.897,0.942,0.0975,0.382,75.955,4,chill
Vluestar,Weed Wit U,Weed Wit U,58,121951,True,0.481,0.335,7,-17.999,0,0.223,0.977,0.000142,0.18,0.514,78.721,4,chill
Jazzinuf,Soul Mates,Soul Mates,59,96343,False,0.517,0.509,3,-9.917,1,0.137,0.407,0.311,0.251,0.37,74.98,4,chill
Pink Sweat$,17 (Acoustic),17 - Acoustic,57,169276,False,0.525,0.276,0,-9.121,1,0.0347,0.893,0.0,0.118,0.329,125.014,4,chill
Kid Travis,Nobody,Nobody,46,192000,False,0.86,0.479,1,-7.871,1,0.0366,0.265,0.0,0.112,0.962,105.023,4,chill
Kayou.,Stars,Stars,35,162323,False,0.368,0.681,10,-6.282,0,0.0591,0.424,0.0,0.145,0.205,107.801,4,chill
Janine,Best Thing,Best Thing,58,219065,False,0.479,0.364,5,-9.184,0,0.0606,0.902,8.1e-05,0.101,0.372,135.939,4,chill
Yxngxr1,BOY IN BLUE,BOY IN BLUE,58,206315,True,0.852,0.34,7,-9.759,1,0.0614,0.787,7.44e-06,0.0842,0.141,114.023,4,chill
MASN,Adrenaline,Adrenaline,55,146053,False,0.604,0.767,5,-5.235,1,0.0567,0.0724,0.0,0.315,0.662,166.912,4,chill
Hoody,Departure,Adios,55,200568,False,0.633,0.724,3,-3.447,1,0.0739,0.274,0.0,0.223,0.488,77.506,4,chill
Zmeyev,Distant Stars,Distant Stars,57,120000,False,0.696,0.308,11,-11.769,0,0.29,0.659,0.793,0.0892,0.757,79.949,4,chill
Seon,Float,Float,56,162901,True,0.802,0.579,6,-4.12,0,0.0325,0.189,0.0,0.219,0.647,111.994,4,chill
Mishaal,Life's a Ride,Mister Mister,47,164036,False,0.709,0.571,5,-6.031,1,0.0811,0.382,0.0,0.0931,0.473,88.529,4,chill
Jinsang,Meditation - EP,Egyptian Pools,56,130677,False,0.665,0.597,5,-9.669,0,0.274,0.845,0.919,0.11,0.81,78.681,4,chill
Ronzo,Left Back (Remix),Left Back - Remix,65,180413,True,0.904,0.654,11,-9.292,1,0.345,0.468,0.0,0.0617,0.805,144.966,4,chill
keshi,trilogy remixes,skeletons - K-391 Remix,49,130013,True,0.593,0.731,2,-8.73,1,0.0353,0.00319,0.00728,0.123,0.629,159.918,4,chill
Holem,In My Feelings,Sex for Breakfast,55,97297,False,0.81,0.0774,0,-17.368,1,0.0526,0.927,0.0325,0.418,0.442,111.017,3,chill
Skinny Atlas,Meant to Be,Meant to Be,54,110163,False,0.789,0.659,0,-5.305,1,0.0406,0.382,0.0392,0.252,0.603,91.508,3,chill
French The Kid,Never Been Ordinary,Thrill,62,163404,True,0.765,0.468,6,-11.39,0,0.245,0.616,0.000206,0.095,0.447,141.042,4,chill
Mokita,Color Me In,Color Me In,50,181714,False,0.599,0.815,11,-7.399,1,0.0956,0.0404,3.73e-06,0.131,0.595,140.027,4,chill
Yusei,Beyond Your Imagination,Miss You Too,8,279923,False,0.71,0.149,7,-19.431,0,0.185,0.972,0.911,0.321,0.542,142.002,4,chill
Kid Travis,Somebody You Loved,Somebody You Loved,41,145920,False,0.735,0.193,1,-11.663,1,0.0623,0.653,0.0,0.0819,0.766,124.823,4,chill
Yusei,Beyond Your Imagination,Romance in Tokyo,13,269624,False,0.521,0.298,8,-10.272,1,0.159,0.974,0.909,0.234,0.487,105.178,1,chill
Yusei,Beyond Your Imagination,Something Like a Love Song,13,293403,False,0.492,0.416,0,-11.569,1,0.393,0.925,0.856,0.15,0.468,67.202,3,chill
untrusted,sweater weather / i wanna be your girlfriend,sweater weather / i wanna be your girlfriend,57,235161,False,0.655,0.538,10,-7.991,1,0.0378,0.299,0.393,0.0762,0.329,124.045,4,chill
Chris James,The Art of Overthinking,Don't Forget About Me,44,206250,False,0.472,0.296,1,-11.846,0,0.0525,0.832,1.78e-05,0.247,0.0959,103.945,4,chill
Jeff Bernat,The Gentleman Approach,Call You Mine (feat. Geologic Of The Blue Scholars),61,215125,False,0.794,0.571,11,-6.436,0,0.0521,0.836,0.0174,0.0918,0.632,90.033,4,chill
Yusei,Beyond Your Imagination,Evening in Shinjuku,8,290961,False,0.492,0.406,4,-13.565,0,0.414,0.984,0.818,0.195,0.326,121.762,4,chill
DaniSogen,The Gate to Serenity,The Old Legend,58,148474,False,0.71,0.251,0,-16.993,0,0.0295,0.763,0.937,0.379,0.412,118.017,4,chill
Tiana Major9,Autumn Girl,...Exclusively,1,235240,False,0.46,0.293,5,-11.912,1,0.063,0.844,0.0,0.126,0.248,137.552,3,chill
LARINHX,EU GOSTO DE GAROTAS,CAMISA 10,37,175748,False,0.769,0.542,0,-7.253,0,0.0586,0.182,1.49e-06,0.0954,0.452,126.889,4,chill
GEMINI,Going,Going,52,195760,False,0.676,0.724,0,-5.533,0,0.0496,0.216,0.000211,0.185,0.397,99.999,4,chill
LAKEY INSPIRED,Chill Day,Chill Day,56,186070,False,0.722,0.386,11,-7.658,0,0.0541,0.0854,0.943,0.0973,0.385,160.003,4,chill
Sainte,Out the Blue,No Love,62,191365,True,0.716,0.553,1,-10.229,1,0.139,0.109,0.000214,0.106,0.217,112.264,4,chill
Verzache,My Head is a Moshpit,All I Need,55,203750,True,0.663,0.786,9,-5.325,1,0.0353,0.212,1.96e-06,0.0957,0.319,145.977,4,chill
thuy,trust (feat. RINI),trust (feat. RINI),59,197557,False,0.762,0.556,0,-7.144,0,0.0406,0.13,0.0,0.081,0.649,95.025,4,chill
Fiji Blue,Wait!,Wait!,48,168951,False,0.749,0.409,9,-9.263,1,0.0395,0.13,0.00222,0.152,0.486,122.979,4,chill
Colette Lush,Seven-One,Don't,60,208124,False,0.738,0.288,2,-8.721,0,0.0332,0.411,0.0,0.107,0.311,79.975,3,chill
SHRK,Sad Hours,Sad Life,56,181198,False,0.613,0.428,1,-16.208,1,0.337,0.775,0.577,0.0932,0.219,101.041,4,chill
demxntia,somehow,i don't mind,52,188571,False,0.331,0.599,11,-6.832,1,0.0904,0.788,2.43e-06,0.155,0.49,77.42,4,chill
Nujabes,Modal Soul,Luv(sic.) pt3 (feat. Shing02),60,336866,False,0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,4,chill
Zachary Knowles,city,city,47,141328,False,0.781,0.666,2,-5.547,1,0.0639,0.00916,0.0,0.1,0.561,130.005,4,chill
Weston Estate,Stoked,Stoked,56,189329,False,0.778,0.642,10,-6.435,1,0.137,0.149,0.0,0.106,0.786,133.04,4,chill
creamy,riptide,riptide,48,107027,False,0.656,0.133,1,-20.058,1,0.042,0.926,0.016,0.113,0.418,148.084,4,chill
Weston Estate,Drown,Drown,57,181466,True,0.644,0.554,3,-6.642,0,0.049,0.0803,0.0,0.098,0.53,120.024,4,chill
Jesse Barrera,Constant,Constant,62,190348,False,0.668,0.427,9,-8.74,1,0.0271,0.492,1.44e-05,0.201,0.604,87.031,4,chill
creamy,Lovefool (8D Audio),Lovefool (8D Audio),44,92903,False,0.728,0.149,7,-21.921,1,0.0468,0.801,0.872,0.0985,0.304,107.992,4,chill
Finding Hope,Daydream,Daydream,43,164000,False,0.818,0.371,8,-8.319,1,0.0502,0.189,0.000489,0.124,0.39,90.006,4,chill
Ben Kessler,Concrete,Concrete,50,152051,False,0.578,0.459,0,-9.926,1,0.127,0.381,0.0247,0.231,0.344,92.067,4,chill
Idi Akz,Two Years Clear,Two Years Clear,66,205053,True,0.695,0.552,1,-9.271,0,0.434,0.183,0.0,0.154,0.665,142.818,4,chill
Faime,Escape,Save,45,193033,False,0.616,0.335,5,-12.631,1,0.0303,0.851,0.0547,0.109,0.137,96.953,4,chill
SPEECHLESS,Bloom,Bloom,54,155715,False,0.662,0.206,11,-14.994,0,0.0473,0.95,0.797,0.102,0.278,123.934,4,chill
TOB Duke,$ad Boy,Spaceship,62,151658,True,0.539,0.47,1,-10.013,1,0.389,0.868,0.0,0.0594,0.805,177.087,4,chill
89ine,Sweater Weather (Lofi Remix),Sweater Weather (Lofi Remix),45,215872,False,0.603,0.296,0,-16.694,0,0.0424,0.103,0.235,0.106,0.076,96.018,4,chill
potsu,just friends,just friends,61,172800,False,0.563,0.3,11,-16.664,0,0.0512,0.927,0.655,0.234,0.38,74.971,4,chill
Joseph Tilley,Together,Together,50,149549,False,0.635,0.722,9,-5.088,1,0.123,0.444,0.0,0.0774,0.641,150.842,4,chill
poofi.,get u the moon,get u the moon,41,162192,False,0.75,0.158,6,-24.285,0,0.337,0.964,0.922,0.223,0.507,97.567,4,chill
Sainte,Round & Round,Round & Round,66,138000,False,0.916,0.401,1,-13.072,1,0.519,0.659,5.22e-06,0.0818,0.42,141.008,4,chill
iamalex,New Day,Secret Waterfall,58,123529,False,0.674,0.298,4,-8.401,1,0.0436,0.95,0.956,0.176,0.202,68.053,4,chill
Dvwn,"Dawn Defibrillation, Vol.1",Last,60,235666,False,0.695,0.39,7,-5.439,1,0.0342,0.117,0.0,0.104,0.455,123.985,3,chill
Lund,Project Of A Person,Issues,50,188560,True,0.754,0.517,11,-7.598,1,0.0368,0.587,0.0,0.0971,0.299,120.061,4,chill
Tiffany Day,IF I DON'T TEXT YOU FIRST,IF I DON'T TEXT YOU FIRST,58,133547,True,0.76,0.492,9,-6.802,1,0.0824,0.269,0.0,0.305,0.677,104.987,4,chill
Fiji Blue,"I Loved You, What Happened?",Feel Something,52,150756,False,0.695,0.662,2,-6.378,1,0.0286,0.046,0.0,0.176,0.618,122.023,4,chill
Tycho,Weather Remixes,Japan - Satin Jackets Remix,57,237419,False,0.708,0.771,2,-9.022,0,0.0394,0.00721,0.164,0.277,0.371,92.986,4,chill
Shiloh Dynasty,Sora,I Know You so Well,48,132293,False,0.733,0.182,11,-13.724,0,0.117,0.922,0.328,0.122,0.309,69.459,5,chill
SPEECHLESS,Future Feelings,Sleep Well,52,96018,False,0.582,0.197,7,-13.155,1,0.0493,0.748,0.923,0.101,0.149,99.816,4,chill
Tenno,3 Am. Study Session,Luna,48,154615,False,0.395,0.379,9,-13.785,0,0.192,0.936,0.977,0.344,0.0379,207.841,3,chill
keshi,skeletons,atlas,57,171520,True,0.602,0.491,5,-6.764,1,0.0308,0.661,0.0,0.113,0.176,119.964,4,chill
Sarcastic Sounds,I Can't Help,I Can't Help,52,77583,True,0.645,0.324,2,-12.177,1,0.0759,0.443,0.14,0.127,0.32,164.095,4,chill
dyl dion,meant nothing to me,meant nothing to me,57,117391,False,0.801,0.643,5,-5.635,1,0.0355,0.824,5.09e-05,0.109,0.664,147.29,4,chill
jesvn,Why Did I Fall In Love,Why Did I Fall In Love,44,130132,True,0.729,0.549,4,-11.366,0,0.351,0.741,0.0,0.11,0.771,144.887,4,chill
Chris James,With or Without You,With or Without You,39,151171,False,0.768,0.429,4,-8.494,1,0.117,0.51,8.73e-06,0.144,0.637,83.985,4,chill
Ethan Dufault,What If,California,47,201651,False,0.609,0.659,9,-6.943,1,0.051,0.143,3.77e-05,0.0713,0.309,75.215,4,chill
Unknown Mortal Orchestra,II,So Good At Being in Trouble,67,230146,False,0.829,0.435,0,-10.136,1,0.0515,0.0363,0.881,0.119,0.594,103.817,4,chill
S N U G,Rainy Nights,Back Then,55,127200,False,0.565,0.24,10,-18.678,1,0.0439,0.931,0.912,0.379,0.0827,114.93,4,chill
Mokita,Crash (TELYKast Remix),Crash - (TELYKast Remix),53,155856,False,0.707,0.674,6,-7.471,0,0.0402,0.109,0.00452,0.101,0.205,127.972,4,chill
fenekot,Love the Way You Lie,Love the Way You Lie (Slowed + Reverb),47,109500,False,0.557,0.447,5,-10.288,1,0.043,0.976,0.512,0.132,0.18,150.673,4,chill
Tenno,Mind Temple,Equanimity,59,162857,False,0.529,0.378,10,-10.042,0,0.0365,0.536,0.917,0.353,0.26,139.989,4,chill
Lund,Downhill,Downhill,55,176013,True,0.846,0.419,4,-8.957,0,0.0499,0.198,1.15e-05,0.0415,0.527,119.992,4,chill
Fiji Blue,Day by Day,Day by Day,53,177080,False,0.914,0.532,10,-8.657,1,0.333,0.674,0.000442,0.114,0.754,116.961,4,chill
Lund,Gold,Alone,54,254000,True,0.741,0.354,2,-15.505,1,0.0812,0.656,0.702,0.384,0.037,120.018,4,chill
Nbdy,Lights Out,Lights Out,54,224072,True,0.57,0.43,8,-10.935,0,0.037,0.334,1.29e-06,0.111,0.156,90.013,4,chill
Larissa Lambert,Pearl,Pearl,48,192142,False,0.659,0.593,0,-6.814,0,0.0456,0.0427,2.17e-06,0.0689,0.47,84.945,4,chill
Nujabes,Luv(sic) Hexalogy,Luv (sic),59,286320,False,0.906,0.677,1,-5.558,1,0.215,0.437,0.0272,0.652,0.869,93.016,4,chill
Elijah Who,Gentle Boy,i love being with you,58,96405,False,0.633,0.399,7,-10.568,1,0.0489,0.949,0.571,0.104,0.466,78.893,4,chill
admo,Stratford Ct. | Sonus Auri,Equinox,57,162500,False,0.671,0.515,1,-16.738,1,0.0388,0.815,0.932,0.11,0.0984,105.001,4,chill
demxntia,"goodnight, pt. II",autumn,51,146000,False,0.688,0.619,3,-8.001,1,0.0409,0.375,0.0,0.195,0.444,119.929,4,chill
Jaylon Ashaun,Forever (Rough Draft),Forever (Rough Draft),49,73333,False,0.702,0.521,1,-7.67,1,0.0761,0.0587,2.45e-05,0.0912,0.49,179.993,4,chill
SHRK,Sad Hours,Sober,53,135761,False,0.757,0.142,1,-18.249,1,0.049,0.473,0.539,0.122,0.0383,110.164,4,chill
MASN,Love Me For Me,Love Me For Me,50,171013,False,0.627,0.648,9,-3.987,0,0.0457,0.51,0.0,0.117,0.467,87.6,4,chill
ODESZA,A Moment Apart,Higher Ground (feat. Naomi Wild),60,215130,False,0.629,0.852,1,-5.094,1,0.0521,0.0865,0.0215,0.263,0.415,104.997,4,chill
Zaini,dead,dead,52,171166,False,0.472,0.287,6,-11.173,0,0.21,0.83,0.247,0.433,0.481,179.891,3,chill
Charlene Su,i like red,i like red,56,122500,False,0.691,0.45,1,-12.395,1,0.145,0.335,0.000323,0.163,0.65,169.908,4,chill
Dan,Legends Aren't Made,Legends Aren't Made,66,168247,True,0.624,0.443,11,-7.544,1,0.3,0.799,0.0,0.108,0.569,97.857,3,chill
Valera,missing us,missing us,47,134507,False,0.643,0.34,2,-13.689,1,0.118,0.943,0.911,0.665,0.217,75.99,4,chill
Zachary Knowles,cold winter,cold winter,48,210000,False,0.719,0.359,7,-10.807,0,0.286,0.561,0.000356,0.123,0.617,160.017,4,chill
neon,idfc,idfc,43,282947,True,0.458,0.309,2,-13.958,0,0.0312,0.856,0.288,0.111,0.0987,94.978,4,chill
Tomppabeats,Harbor,Emotional Crank,51,74594,False,0.726,0.329,9,-10.583,1,0.0929,0.908,0.00943,0.36,0.346,148.102,4,chill
Idealism,hiraeth,ikigai,52,149610,False,0.412,0.391,8,-17.141,1,0.0558,0.753,0.854,0.14,0.293,65.961,3,chill
Blood Orange,Negro Swan,Charcoal Baby,66,242341,False,0.622,0.46,7,-8.389,0,0.0372,0.14,0.000369,0.119,0.514,183.241,4,chill
Dane Amar,PCH,PCH,53,135483,True,0.786,0.393,5,-9.505,1,0.0436,0.7,0.0,0.0846,0.863,93.062,4,chill
LRN Slime,the moon knows all my secrets,i'll keep you safe - Reverb,48,117890,False,0.555,0.338,7,-13.937,1,0.0396,0.95,0.175,0.314,0.496,114.245,4,chill
ODESZA,A Moment Apart (Deluxe Edition),It’s Only (feat. Zyra) - ODESZA VIP Remix,52,240440,False,0.596,0.882,2,-5.279,1,0.0296,2.58e-05,0.457,0.0421,0.109,119.999,4,chill
Mounika.,I Need Space,Tender love,63,203500,False,0.632,0.372,6,-12.723,1,0.0403,0.53,0.806,0.117,0.278,81.012,4,chill
