Artists1,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
keshi,THE REAPER,like i need u,73,182678,True,0.748,0.465,5,-8.163,1,0.0869,0.399,0.0,0.294,0.412,119.872,4,chill
80purppp,Hex,Hex,79,122221,False,0.845,0.398,5,-15.781,1,0.268,0.872,0.00713,0.159,0.482,109.996,4,chill
sagun,I'll Keep You Safe,I'll Keep You Safe,71,185875,False,0.752,0.0625,7,-24.694,1,0.0557,0.945,0.819,0.178,0.462,114.982,4,chill
Peachy!,Falling for U,Falling for U,74,124000,False,0.719,0.36,6,-12.034,1,0.398,0.748,2.18e-06,0.0812,0.409,80.184,4,chill
Fiji Blue,Waves,Waves,66,133747,False,0.84,0.338,6,-8.16,1,0.0436,0.135,0.0225,0.0635,0.927,108.024,4,chill
keshi,GABRIEL,SOMEBODY,71,164662,True,0.649,0.461,8,-8.401,1,0.0449,0.442,0.0,0.108,0.487,141.088,4,chill
Pink Sweat$,Lay Up N’ Chill (feat. A Boogie Wit da Hoodie),Lay Up N’ Chill (feat. A Boogie Wit da Hoodie),66,153735,True,0.528,0.683,1,-4.074,0,0.263,0.26,0.0,0.0857,0.539,134.92,4,chill
keshi,2 soon,2 soon,72,206511,True,0.517,0.663,6,-6.688,0,0.0375,0.146,0.0,0.322,0.146,174.032,4,chill
yaeow,Worn Out Heart,I Need U,61,142588,False,0.402,0.405,9,-12.486,1,0.0713,0.513,0.0167,0.155,0.072,84.873,4,chill
Timmies,Passion & Confusion,Tell Me Why I'm Waiting,70,123891,False,0.671,0.275,6,-11.185,0,0.056,0.796,0.000339,0.0657,0.159,124.007,4,chill
Vluestar,I’ll Keep You Safe,I’ll Keep You Safe,70,140338,False,0.504,0.401,0,-10.016,1,0.0958,0.805,0.00596,0.155,0.243,114.95,4,chill
dhruv,rapunzel,vulnerable,59,198404,False,0.696,0.543,8,-8.73,0,0.0454,0.438,3.29e-05,0.394,0.3,115.983,4,chill
dhruv,rapunzel,airplane thoughts,64,210405,False,0.677,0.454,2,-8.555,0,0.0673,0.83,8.55e-05,0.274,0.273,80.045,4,chill
AtariJones,Early Catch,Make It (feat. The Weeknd) [DJAmg Remixer],62,102243,True,0.514,0.407,9,-15.052,1,0.153,0.0134,0.0294,0.135,0.25,82.759,4,chill
Timmies,Passion & Confusion,Loosing Interest,68,117916,False,0.926,0.199,10,-13.635,0,0.0916,0.51,0.119,0.224,0.763,113.952,4,chill
Justin Park,Places Like Home,On the Low,63,181379,False,0.68,0.53,0,-6.854,0,0.209,0.203,0.0,0.115,0.398,87.008,4,chill
